0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,labels
-301.5327,125.49682,-16.729305,23.671824,-31.327784,-0.32997328,-1.5997612,-24.62439,-10.103914,-9.270338,-18.487097,3.3457937,-4.1411843,-2.3513227,-6.523633,-2.8370953,-3.9626863,-11.3245125,3.363579,-5.175895,-3.3384824,3.2853384,4.693465,3.2292507,15.271885,12.218769,12.546978,12.62728,6.4198017,5.576758,4.4378123,6.096508,1.6043313,3.4286222,-1.7453039,-0.87244916,-1.1256071,0.13752562,-2.3261526,-0.37365413,Hate
-326.57364,122.29761,-28.798,13.264245,-25.837881,-1.6415977,-6.210991,-18.731573,-3.372592,-6.7950687,-16.200178,0.88843846,-1.9843696,-1.6423849,-4.5872445,-2.8489943,-4.498194,-9.031831,-0.115559235,-2.4492412,-1.7849847,3.1230445,9.0283985,5.26475,12.826342,7.653676,4.2134857,3.0181181,0.8738796,4.020559,1.1605784,1.0736738,-1.3502592,1.1244682,0.38724208,1.3520051,-1.7878145,-2.329606,-1.0509582,2.7447166,Hate
-359.50723,85.54818,-16.446487,31.04242,-20.993969,-0.44697458,-11.2395115,-7.5584183,-13.144612,-6.8106813,-14.661583,0.8189859,-4.7418303,0.108367965,-7.667446,-1.862995,0.2584509,-13.982529,1.0115983,-6.149761,-4.623976,-2.3134086,6.9714074,5.7748804,15.78094,8.114227,5.2019567,3.7783046,0.55055344,2.4374938,-0.30769253,2.6619546,-3.066536,1.7302902,-2.480531,0.8284767,-1.3652043,0.1308268,-2.0047784,-0.32327193,Hate
-298.0058,127.39585,-25.476662,30.78297,-31.854288,-0.5983254,-10.116044,-20.466301,-11.486387,-9.791704,-15.298613,1.2903169,-5.1040273,4.493521,-9.242976,-0.3333828,1.0835326,-12.108766,5.2831936,-5.994347,-3.777144,-2.4264338,3.760451,3.8307872,15.531533,10.360541,7.8746076,4.5786314,2.5006623,4.471867,4.024016,8.594863,2.178844,5.9449534,0.42145383,2.02806,-0.8373455,0.8885964,-3.849703,-0.69561607,Hate
-311.46484,108.11859,-18.031328,59.96015,-34.230537,-15.574715,2.095525,-20.490343,-14.445907,-16.16379,-12.813653,-2.6961794,-10.334593,3.587274,-7.463068,-1.9851009,-1.3361351,-12.072498,3.0832682,-3.6338742,0.85350573,7.022466,9.52761,7.751606,13.246007,9.450199,8.301582,6.6555214,4.424235,3.335031,-1.2964517,2.0648654,-1.8542203,-0.54838777,-2.4580882,-0.6940777,-0.82421845,-1.3598685,-1.2940123,2.3306131,Hate
-311.46484,108.11859,-18.031328,59.96015,-34.230537,-15.574715,2.095525,-20.490343,-14.445907,-16.16379,-12.813653,-2.6961794,-10.334593,3.587274,-7.463068,-1.9851009,-1.3361351,-12.072498,3.0832682,-3.6338742,0.85350573,7.022466,9.52761,7.751606,13.246007,9.450199,8.301582,6.6555214,4.424235,3.335031,-1.2964517,2.0648654,-1.8542203,-0.54838777,-2.4580882,-0.6940777,-0.82421845,-1.3598685,-1.2940123,2.3306131,Hate
-311.46484,108.11859,-18.031328,59.96015,-34.230537,-15.574715,2.095525,-20.490343,-14.445907,-16.16379,-12.813653,-2.6961794,-10.334593,3.587274,-7.463068,-1.9851009,-1.3361351,-12.072498,3.0832682,-3.6338742,0.85350573,7.022466,9.52761,7.751606,13.246007,9.450199,8.301582,6.6555214,4.424235,3.335031,-1.2964517,2.0648654,-1.8542203,-0.54838777,-2.4580882,-0.6940777,-0.82421845,-1.3598685,-1.2940123,2.3306131,Hate
-311.46484,108.11859,-18.031328,59.96015,-34.230537,-15.574715,2.095525,-20.490343,-14.445907,-16.16379,-12.813653,-2.6961794,-10.334593,3.587274,-7.463068,-1.9851009,-1.3361351,-12.072498,3.0832682,-3.6338742,0.85350573,7.022466,9.52761,7.751606,13.246007,9.450199,8.301582,6.6555214,4.424235,3.335031,-1.2964517,2.0648654,-1.8542203,-0.54838777,-2.4580882,-0.6940777,-0.82421845,-1.3598685,-1.2940123,2.3306131,Hate
-311.46484,108.11859,-18.031328,59.96015,-34.230537,-15.574715,2.095525,-20.490343,-14.445907,-16.16379,-12.813653,-2.6961794,-10.334593,3.587274,-7.463068,-1.9851009,-1.3361351,-12.072498,3.0832682,-3.6338742,0.85350573,7.022466,9.52761,7.751606,13.246007,9.450199,8.301582,6.6555214,4.424235,3.335031,-1.2964517,2.0648654,-1.8542203,-0.54838777,-2.4580882,-0.6940777,-0.82421845,-1.3598685,-1.2940123,2.3306131,Hate
-369.06085,87.96028,-21.25577,36.93075,-21.52282,-7.3034406,-1.5209718,-15.612267,-10.596288,-13.39524,-10.929375,1.1078075,-6.593815,6.192412,-8.189972,-1.2330023,4.472855,-9.101013,3.2617948,-2.7771306,2.540731,5.6430426,9.00526,9.081624,10.392118,4.8158298,2.9818325,2.4764957,1.5398246,1.679453,-0.69104344,0.13679299,-1.6027296,0.95371336,-2.2307396,1.6173227,-1.7226388,-0.25583416,-0.45947394,-1.6194942,Hate
-369.06085,87.96028,-21.25577,36.93075,-21.52282,-7.3034406,-1.5209718,-15.612267,-10.596288,-13.39524,-10.929375,1.1078075,-6.593815,6.192412,-8.189972,-1.2330023,4.472855,-9.101013,3.2617948,-2.7771306,2.540731,5.6430426,9.00526,9.081624,10.392118,4.8158298,2.9818325,2.4764957,1.5398246,1.679453,-0.69104344,0.13679299,-1.6027296,0.95371336,-2.2307396,1.6173227,-1.7226388,-0.25583416,-0.45947394,-1.6194942,Hate
-369.06085,87.96028,-21.25577,36.93075,-21.52282,-7.3034406,-1.5209718,-15.612267,-10.596288,-13.39524,-10.929375,1.1078075,-6.593815,6.192412,-8.189972,-1.2330023,4.472855,-9.101013,3.2617948,-2.7771306,2.540731,5.6430426,9.00526,9.081624,10.392118,4.8158298,2.9818325,2.4764957,1.5398246,1.679453,-0.69104344,0.13679299,-1.6027296,0.95371336,-2.2307396,1.6173227,-1.7226388,-0.25583416,-0.45947394,-1.6194942,Hate
-369.06085,87.96028,-21.25577,36.93075,-21.52282,-7.3034406,-1.5209718,-15.612267,-10.596288,-13.39524,-10.929375,1.1078075,-6.593815,6.192412,-8.189972,-1.2330023,4.472855,-9.101013,3.2617948,-2.7771306,2.540731,5.6430426,9.00526,9.081624,10.392118,4.8158298,2.9818325,2.4764957,1.5398246,1.679453,-0.69104344,0.13679299,-1.6027296,0.95371336,-2.2307396,1.6173227,-1.7226388,-0.25583416,-0.45947394,-1.6194942,Hate
